id,name,start_date,end_date,party,partyLabel,constituency,constituencyLabel,election
Q3738543,Jan Olav Olsen,2001-10-01,,Q586364,Høyre,,,Q1575198
Q1771172,Åse Gunhild Woie Duesund,2001-10-01,,Q1166025,Kristelig Folkeparti,,,Q1575198
Q1554741,Gunnar Halvorsen,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q1771743,Torbjørn Andersen,2001-10-01,,Q485665,Fremskrittspartiet,,,Q1575198
Q663652,Jon Lilletun,2001-10-01,,Q1166025,Kristelig Folkeparti,,,Q1575198
Q323721,Ansgar Gabrielsen,2001-10-01,,Q586364,Høyre,,,Q1575198
Q5914793,Rolf Terje Klungland,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q1771757,Dagrun Eriksen,2001-10-01,,Q1166025,Kristelig Folkeparti,,,Q1575198
Q4768164,Anne Berit Andersen,2001-10-01,,Q586364,Høyre,,,Q1575198
Q1351719,Jan Petersen,2001-10-01,,Q586364,Høyre,,,Q1575198
Q5578358,Vidar Bjørnstad,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q1771052,Sonja Irene Sjøli,2001-10-01,,Q586364,Høyre,,,Q1575198
Q7901229,Ursula Evje,2001-10-01,,Q485665,Fremskrittspartiet,,,Q1575198
Q6515505,Rolf Reikvam,2001-10-01,,Q488418,Sosialistisk Venstreparti,,,Q1575198
Q5607755,Grethe Fossli,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q156553,Jan Tore Sanner,2001-10-01,,Q586364,Høyre,,,Q1575198
Q463689,Valgerd Svarstad Haugland,2001-10-01,,Q1166025,Kristelig Folkeparti,,,Q1575198
Q4759949,André Kvakkestad,2001-10-01,,Q485665,Fremskrittspartiet,,,Q1575198
Q6419358,Kjell Engebretsen,2001-10-01,,Q190219,Arbeiderpartiet,,,Q1575198
Q6519395,Leif Frode Onarheim,2001-10-01,,Q586364,Høyre,,,Q1575198
Q290960,Siri Hall Arnøy,2001-10-01,,Q488418,Sosialistisk Venstreparti,,,Q1575198
Q1771184,Morten Høglund,2001-10-01,,Q485665,Fremskrittspartiet,,,Q1575198
